id,abbr,name,publisher,url,rank,type,category
313,DSE,Data Science and Engineering,CCF/ Springer Nature,https://dblp.org/db/journals/dase/index.html,B,Journal,5
314,DPD,Distributed and Parallel Databases,Springer,http://dblp.uni-trier.de/db/journals/dpd/,C,Journal,5
315,I&M,Information & Management,Elsevier,http://dblp.uni-trier.de/db/journals/iam/,C,Journal,5
316,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/,C,Journal,5
317,,Discover Computing,Springer,http://dblp.uni-trier.de/db/journals/ir/,C,Journal,5
318,IJCIS,International Journal of Cooperative Information Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/,C,Journal,5
319,IJGIS,International Journal of Geographical Information Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/,C,Journal,5
320,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/,C,Journal,5
321,IJKM,International Journal of Knowledge Management,IGI,http://dblp.uni-trier.de/db/journals/ijkm/,C,Journal,5
322,IJSWIS,International Journal on Semantic Web and Information Systems,IGI,http://dblp.uni-trier.de/db/journals/ijswis/,C,Journal,5
323,JCIS,Journal of Computer Information Systems,IACIS,http://dblp.uni-trier.de/db/journals/jcis/,C,Journal,5
324,JDM,Journal of Database Management,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/,C,Journal,5
325,JGITM,Journal of Global Information Technology Management,Ivy League Publishing,https://dblp.org/db/journals/jgim/index.html,C,Journal,5
326,JIIS,Journal of Intelligent Information Systems,Springer,http://dblp.uni-trier.de/db/journals/jiis/,C,Journal,5
327,JSIS,The Journal of Strategic Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/,C,Journal,5
328,TIST,ACM Transactions on Intelligent Systems and Technology,ACM,https://dblp.uni-trier.de/db/journals/tist/index.html,C,Journal,5
329,TORS,ACM Transactions on Recommender Systems,ACM,https://dblp.uni-trier.de/db/journals/tors/index.html,C,Journal,5
330,SIGMOD,ACM SIGMOD Conference,ACM,http://dblp.uni-trier.de/db/conf/sigmod/,A,Conference,5
331,SIGKDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/,A,Conference,5
332,ICDE,IEEE International Conference on Data Engineering,IEEE,http://dblp.uni-trier.de/db/conf/icde/,A,Conference,5
333,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/,A,Conference,5
334,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann/ ACM,http://dblp.uni-trier.de/db/conf/vldb/,A,Conference,5
335,CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.uni-trier.de/db/conf/cikm/,B,Conference,5
336,WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/wsdm/,B,Conference,5
337,PODS,ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,ACM,http://dblp.uni-trier.de/db/conf/pods/,B,Conference,5
338,DASFAA,International Conference on Database Systems for Advanced Applications,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/,B,Conference,5
339,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/conf/ecml/http://dblp.uni-trier.de/db/conf/pkdd/,B,Conference,5
340,ISWC,IEEE International Semantic Web Conference,IEEE,http://dblp.uni-trier.de/db/conf/semweb/,B,Conference,5
341,ICDM,IEEE International Conference on Data Mining,IEEE,http://dblp.uni-trier.de/db/conf/icdm/,B,Conference,5
342,ICDT,International Conference on Database Theory,Springer,http://dblp.uni-trier.de/db/conf/icdt/,B,Conference,5
343,EDBT,International Conference on Extending Database Technology,Springer,http://dblp.uni-trier.de/db/conf/edbt/,B,Conference,5
344,CIDR,Conference on Innovative Data Systems Research,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/,B,Conference,5
345,SDM,SIAM International Conference on Data Mining,SIAM,http://dblp.uni-trier.de/db/conf/sdm/,B,Conference,5
346,RecSys,ACM Conference on Recommender Systems,ACM,https://dblp.org/db/conf/recsys/index.html,B,Conference,5
347,WISE,Web Information Systems Engineering Conference,Springer,http://dblp.uni-trier.de/db/conf/wise/,B,Conference,5
348,APWeb,Asia Pacific Web Conference,Springer,http://dblp.uni-trier.de/db/conf/apweb/,C,Conference,5
349,DEXA,International Conference on Database and Expert System Applications,Springer,http://dblp.uni-trier.de/db/conf/dexa/,C,Conference,5
350,ECIR,European Conference on Information Retrieval,Springer,http://dblp.uni-trier.de/db/conf/ecir/,C,Conference,5
351,ESWC,Extended Semantic Web Conference,Springer,http://dblp.uni-trier.de/db/conf/esws/,C,Conference,5
352,WebDB,International Workshop on Web and Databases,ACM,http://dblp.uni-trier.de/db/conf/webdb/,C,Conference,5
353,ER,International Conference on Conceptual Modeling,Springer,http://dblp.uni-trier.de/db/conf/er/,C,Conference,5
354,MDM,International Conference on Mobile Data Management,IEEE,http://dblp.uni-trier.de/db/conf/mdm/,C,Conference,5
355,SSDBM,International Conference on Scientific and Statistical Database Management,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/,C,Conference,5
356,WAIM,International Conference on Web Age Information Management,Springer,http://dblp.uni-trier.de/db/conf/waim/,C,Conference,5
357,SSTD,International Symposium on Spatial and Temporal Databases,Springer,https://dblp.uni-trier.de/db/conf/ssd/index.html,C,Conference,5
358,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.uni-trier.de/db/conf/pakdd/,C,Conference,5
359,ADMA,International Conference on Advanced Data Mining and Applications,Springer,https://dblp.org/db/conf/adma/index.html,C,Conference,5
360,WISA,Web Information Systems and Applications,Springer,https://dblp.uni-trier.de/db/conf/IEEEwisa/index.html,C,Conference,5
361,TIT,IEEE Transactions on Information Theory,IEEE,http://dblp.uni-trier.de/db/journals/tit/,A,Journal,6
362,IANDC,Information and Computation,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/,A,Journal,6
363,SICOMP,SIAM Journal on Computing,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/,A,Journal,6
364,TALG,ACM Transactions on Algorithms,ACM,http://dblp.uni-trier.de/db/journals/talg/,B,Journal,6
365,TOCL,ACM Transactions on Computational Logic,ACM,http://dblp.uni-trier.de/db/journals/tocl/,B,Journal,6
366,TOMS,ACM Transactions on Mathematical Software,ACM,http://dblp.uni-trier.de/db/journals/toms/,B,Journal,6
367,Algorithmica,Algorithmica,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/,B,Journal,6
368,CC,Computational Complexity,Springer,http://dblp.uni-trier.de/db/journals/cc/,B,Journal,6
